Wine ID,Country,Rate,Price,State,Region,variety,Winery
14472,Australia,87,12,New South Wales,Hunter Valley,Chardonnay,Hope Estate
14615,Australia,86,20,South Australia,Eden Valley,Riesling,Penfolds
14654,Australia,91,30,South Australia,Coonawarra,Cabernet Sauvignon,Leconfield
14758,Australia,86,7,Victoria,Victoria,Chardonnay,Deakin Estate
14823,Australia,92,25,South Australia,McLaren Vale,Shiraz,Inkwell
14855,Australia,91,35,South Australia,Eden Valley,Riesling,Poonawatta Estate
14864,Australia,91,22,South Australia,McLaren Vale,Shiraz,Tapestry
14867,Australia,91,45,South Australia,McLaren Vale,Shiraz,Rosemount
14871,Australia,91,22,Western Australia,Frankland River,Riesling,Ferngrove
14873,Australia,91,45,South Australia,Lenswood,Chardonnay,Henschke
14878,Australia,91,35,Victoria,Mornington Peninsula,Chardonnay,Stonier
14898,Australia,86,12,Victoria,Victoria,Chardonnay,Marquee
14961,Australia,89,22,Victoria,Beechworth,Pinot Noir,Brokenwood
15000,Australia,91,30,South Australia,McLaren Vale,Shiraz,Chapel Hill
15010,Australia,91,39,South Australia,McLaren Vale,Shiraz,Shottesbrooke
15051,Australia,90,25,New South Wales,Hunter Valley,Chardonnay,Peter Howland
15060,Australia,87,9,Western Australia,Margaret River,Chardonnay,Abbey Vale
15064,Australia,87,15,Western Australia,Western Australia,Shiraz,Goundrey
15071,Australia,87,14,South Australia,Barossa Valley,Shiraz,Piping Shrike
15081,Australia,87,12,South Australia,South Australia,Shiraz,Wolf Blass
15082,Australia,87,15,Western Australia,Margaret River,Cabernet Sauvignon,Ringbolt
15083,Australia,87,25,South Australia,McLaren Vale,Cabernet Sauvignon,Morgan Simpson
15090,Australia,87,19,South Australia,Adelaide Hills,Sauvignon Blanc,Angove's
15106,Australia,87,20,South Australia,South Australia,Riesling,3 Hills High
15116,Australia,87,14,South Australia,McLaren Vale,Chardonnay,Chateau Reynella
15119,Australia,87,11,Western Australia,Western Australia,Chardonnay,Evans & Tate
15178,Australia,91,45,South Australia,Clare Valley,Shiraz,Leasingham
15289,Australia,89,29,Western Australia,Mount Barker,Cabernet Sauvignon,Plantagenet
